time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.02008750000004511,-4,1,6,1,0,-1
0.022716200000104436,-5,1,7,1,0,-1
0.020738000000164902,-4,1,6,1,0,-1
0.02130360000046494,-4,1,6,1,0,-1
0.02253909999944881,-5,2,6,1,0,-1
0.020943700000316312,-4,1,6,1,0,-1
0.022129400000267196,-4,2,6,1,0,-1
0.021335399999770743,-4,2,6,1,0,-1
0.022040300000298885,-4,2,6,1,0,-1
0.021388699999988603,-4,2,5,1,0,-1
0.020955499999217864,-4,2,5,1,0,-1
0.02251440000054572,-5,2,5,1,0,-1
0.021964800000205287,-4,2,5,1,0,-1
0.02051839999967342,-4,2,5,1,0,-1
0.02143259999957081,-4,2,5,1,0,-1
0.02136190000055649,-4,2,5,1,0,-1
0.02156749999994645,-4,2,4,1,0,-1
0.02198989999942569,-4,2,4,1,0,-1
0.02131080000071961,-4,2,4,1,0,-1
0.022565499999473104,-4,2,4,1,0,-1
0.021472100000210048,-4,2,4,1,0,-1
0.0225735000003624,-4,2,4,1,0,-1
0.021313799999916228,-4,2,4,1,0,-1
0.022033499999452033,-4,2,4,1,0,-1
0.02142690000073344,-4,2,3,1,0,-1
0.02196419999927457,-4,2,3,1,0,-1
0.021923500000411877,-4,2,3,1,0,-1
0.02095850000023347,-4,2,3,1,0,-1
0.020988799999940966,-4,2,2,1,0,-1
0.021487899999556248,-4,2,2,1,0,-1
0.022992600000179664,-4,2,2,1,0,-1
0.022037599999748636,-4,2,2,1,0,-1
0.021918600000390143,-4,2,2,1,0,-1
0.02203300000019226,-4,2,2,1,0,-1
0.020917899999403744,-4,2,2,1,0,-1
0.022957700000006298,0,0,16,0,-2,0
0.022007100000337232,0,0,16,0,-2,0
0.02087130000018078,0,0,14,0,-1,0
0.022508099999868136,0,0,16,0,-2,0
0.02130070000021078,0,0,15,0,-2,0
0.021025499999268504,0,0,14,0,-1,0
0.02195320000009815,0,0,15,0,-2,0
0.020996199999899545,0,0,14,0,-1,0
0.021926299999904586,0,0,15,0,-2,0
0.021553100000346603,0,0,14,0,-1,0
0.021421100000225124,0,0,14,0,-1,0
0.02152719999958208,0,0,14,0,-1,0
0.022904500000549888,0,0,15,0,-2,-1
0.022007599999597005,0,0,14,0,-1,0
0.020921899999848392,0,0,14,0,-1,0
0.02300050000030751,0,0,15,0,-2,-1
0.02244150000024092,0,0,14,0,-1,-1
0.021493700000064564,0,0,14,0,-1,0
0.020391899999594898,0,0,13,0,-1,0
0.022064900000259513,0,0,14,0,-1,-1
0.022894300000189105,0,0,14,0,-2,-1
0.020972799999981362,0,0,13,0,-1,0
0.0209657999994306,0,0,13,0,-1,0
0.02157230000011623,0,0,13,0,-1,-1
0.022400200000447512,0,0,14,0,-1,-1
0.022343199999340868,4,-1,27,0,-3,0
0.021005999999943015,4,-1,25,0,-3,0
0.022504300000036892,4,-2,13,0,-1,0
0.021515700000236393,4,-2,12,0,-1,0
0.02142840000033175,4,-2,12,0,-1,0
0.02194809999946301,4,-2,13,0,-1,0
0.021512100000109058,4,-2,12,0,-1,0
0.02186930000061693,4,-2,12,0,-1,0
0.021040699999502976,4,-2,12,0,-1,0
0.021035499999925378,4,-1,12,0,-1,0
0.02136030000019673,4,-2,12,0,-1,0
0.021532900000238442,4,-2,12,0,-1,0
0.021997799999553536,4,-2,12,0,-1,0
0.022444199999881675,4,-2,12,0,-1,0
0.022367500000655127,4,-2,12,0,-1,0
0.02256909999960044,4,-2,12,0,-1,0
0.021382400000220514,4,-1,12,0,-1,0
0.02100499999960448,4,-1,11,0,-1,0
0.021912799999881827,4,-1,12,0,-1,0
0.022064200000386336,4,-1,12,0,-1,0
0.02039299999978539,4,-1,10,0,-1,0
